Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25,q_26,q_27,q_28,q_29,q_30,q_31,q_32,q_33,q_34,q_35,q_36,q_37,q_38,q_39,q_40,q_41,q_42,q_43,q_44,q_45,q_46,q_47,q_48,q_49,q_50,q_51,q_52,q_53,q_54,q_55,q_56,q_57,q_58,q_59,q_60,q_61,q_62,q_63
1,9,4,0,0,0,0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
1,10,5,0,0,0,0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
2,10,0,0,0,0,0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
2,11,1,2,2,0,2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
2,12,2,0,2,0,2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
2,13,3,0,2,0,2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
2,14,4,0,2,0,2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
2,15,5,0,2,0,2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
3,15,0,0,2,0,2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
3,16,1,1,3,0,3,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_5,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
3,17,2,0,3,0,3,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_5,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
3,18,3,0,3,0,3,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_5,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
3,19,4,1,4,0,4,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
3,20,5,0,4,0,4,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
4,20,0,0,4,0,4,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
4,21,1,1,5,0,5,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_5,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
4,22,2,1,6,0,6,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_5,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
4,23,3,0,6,0,6,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_5,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
4,24,4,0,6,0,6,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_5,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
4,25,5,0,6,0,6,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_5,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
5,25,0,0,6,0,6,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_5,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
5,26,1,0,6,0,6,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_5,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
5,27,2,1,7,0,7,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_1,M_2,M_5,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
5,28,3,1,8,0,8,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
5,29,4,0,8,0,8,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
5,30,5,0,8,0,8,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
6,30,0,0,8,0,8,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
6,31,1,1,9,0,9,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_5,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
6,32,2,0,9,0,9,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_5,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
6,33,3,1,10,0,10,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_5,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
6,34,4,0,10,0,10,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_5,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
6,35,5,0,10,0,10,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_5,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
7,35,0,0,10,0,10,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_5,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
7,36,1,2,12,0,12,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
7,37,2,0,12,0,12,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
7,38,3,0,12,0,12,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
7,39,4,0,12,0,12,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
7,40,5,0,12,0,12,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
8,40,0,0,12,0,12,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_5,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5,M_5
