Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25,q_26,q_27,q_28,q_29,q_30,q_31
1,20,10,0,6,0,3,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_1,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3
2,20,0,0,6,0,3,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_1,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3
2,21,1,2,8,1,4,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_1,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3
2,22,2,0,8,0,4,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_1,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3
2,23,3,0,8,0,4,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_1,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3
2,24,4,2,10,1,5,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_1,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_2
2,25,5,0,10,0,5,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_1,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_2
2,26,6,0,10,0,5,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_1,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_2
2,27,7,0,10,0,5,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_1,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_2
2,28,8,0,10,0,5,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_1,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_2
