Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19
2,30,10,0,21,0,12,M_3,M_2,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_3,M_3,M_3,M_3
3,30,0,0,21,0,12,M_3,M_2,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_3,M_3,M_3,M_3
3,31,1,3,24,0,15,M_3,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_0,M_0,M_3,M_3,M_3,M_3
3,32,2,0,24,0,15,M_3,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_0,M_0,M_3,M_3,M_3,M_3
3,33,3,2,26,1,16,M_0,M_3,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_0,M_0,M_3,M_3,M_3,M_3
3,34,4,0,26,0,16,M_0,M_3,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_0,M_0,M_3,M_3,M_3,M_3
3,35,5,0,26,0,16,M_0,M_3,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_0,M_0,M_3,M_3,M_3,M_3
3,36,6,0,26,0,16,M_0,M_3,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_0,M_0,M_3,M_3,M_3,M_3
3,37,7,2,28,1,17,M_0,M_3,M_1,M_0,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_2,M_0,M_0,M_3,M_3,M_3,M_3
3,38,8,0,28,0,17,M_0,M_3,M_1,M_0,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_2,M_0,M_0,M_3,M_3,M_3,M_3
3,39,9,0,28,0,17,M_0,M_3,M_1,M_0,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_2,M_0,M_0,M_3,M_3,M_3,M_3
3,40,10,0,28,0,17,M_0,M_3,M_1,M_0,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_2,M_0,M_0,M_3,M_3,M_3,M_3
4,40,0,0,28,0,17,M_0,M_3,M_1,M_0,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_2,M_0,M_0,M_3,M_3,M_3,M_3
