Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19
2,30,10,0,31,0,28,M_6,M_3,M_0,M_0,M_4,M_4,M_4,M_2,M_2,M_2,M_1,M_1,M_3,M_3,M_0,M_5,M_5,M_5,M_6,M_6
3,30,0,0,31,0,28,M_6,M_3,M_0,M_0,M_4,M_4,M_4,M_2,M_2,M_2,M_1,M_1,M_3,M_3,M_0,M_5,M_5,M_5,M_6,M_6
3,31,1,3,34,1,30,M_6,M_3,M_0,M_0,M_4,M_4,M_4,M_2,M_2,M_2,M_1,M_1,M_1,M_0,M_3,M_5,M_5,M_5,M_6,M_6
3,32,2,1,35,0,31,M_6,M_3,M_0,M_0,M_4,M_4,M_4,M_2,M_2,M_2,M_1,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
3,33,3,1,36,0,32,M_6,M_5,M_0,M_0,M_4,M_4,M_4,M_2,M_2,M_2,M_1,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
3,34,4,1,37,0,33,M_3,M_5,M_0,M_0,M_4,M_4,M_4,M_2,M_2,M_2,M_1,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
3,35,5,1,38,0,34,M_3,M_6,M_0,M_0,M_4,M_4,M_4,M_2,M_2,M_2,M_1,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
3,36,6,0,38,0,34,M_3,M_6,M_0,M_0,M_4,M_4,M_4,M_2,M_2,M_2,M_1,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
3,37,7,4,42,0,38,M_3,M_6,M_4,M_0,M_4,M_4,M_2,M_2,M_5,M_0,M_1,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
3,38,8,0,42,0,38,M_3,M_6,M_4,M_0,M_4,M_4,M_2,M_2,M_5,M_0,M_1,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
3,39,9,1,43,0,39,M_3,M_6,M_2,M_0,M_4,M_4,M_2,M_2,M_5,M_0,M_1,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
