Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19
0,0,0,0,0,0,0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
0,1,1,0,0,0,0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
0,2,2,0,0,0,0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
0,3,3,0,0,0,0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
0,4,4,0,0,0,0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
0,5,5,1,1,0,1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2
0,6,6,0,1,0,1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2
0,7,7,1,2,0,2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2
0,8,8,0,2,0,2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2
0,9,9,0,2,0,2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2
0,10,10,0,2,0,2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2
1,10,0,0,2,0,2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2
1,11,1,2,4,0,4,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
1,12,2,0,4,0,4,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
1,13,3,0,4,0,4,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
1,14,4,1,5,0,5,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
1,15,5,0,5,0,5,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
1,16,6,0,5,0,5,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
1,17,7,0,5,0,5,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
1,18,8,0,5,0,5,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
1,19,9,0,5,0,5,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
1,20,10,0,5,0,5,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
2,20,0,0,5,0,5,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
2,21,1,1,6,0,6,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
2,22,2,1,7,0,7,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
2,23,3,0,7,0,7,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
2,24,4,0,7,0,7,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
2,25,5,1,8,0,8,M_2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
2,26,6,0,8,0,8,M_2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
2,27,7,0,8,0,8,M_2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
2,28,8,0,8,0,8,M_2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
2,29,9,0,8,0,8,M_2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
2,30,10,0,8,0,8,M_2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
3,30,0,0,8,0,8,M_2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
3,31,1,2,10,0,10,M_0,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
3,32,2,0,10,0,10,M_0,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
3,33,3,0,10,0,10,M_0,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
3,34,4,0,10,0,10,M_0,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
3,35,5,0,10,0,10,M_0,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
3,36,6,0,10,0,10,M_0,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
3,37,7,0,10,0,10,M_0,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
3,38,8,0,10,0,10,M_0,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
3,39,9,0,10,0,10,M_0,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
3,40,10,0,10,0,10,M_0,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
4,40,0,0,10,0,10,M_0,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
4,41,1,1,11,0,11,M_0,M_2,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
4,42,2,0,11,0,11,M_0,M_2,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
4,43,3,0,11,0,11,M_0,M_2,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
4,44,4,1,12,0,12,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
4,45,5,0,12,0,12,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
4,46,6,0,12,0,12,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2
