Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15
0,39,39,0,19,0,19,M_0,M_0,M_3,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,40,40,0,19,0,19,M_0,M_0,M_3,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,41,41,0,19,0,19,M_0,M_0,M_3,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,42,42,1,20,0,20,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,43,43,1,21,0,21,M_0,M_0,M_0,M_2,M_1,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,44,44,0,21,0,21,M_0,M_0,M_0,M_2,M_1,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,45,45,0,21,0,21,M_0,M_0,M_0,M_2,M_1,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,46,46,1,22,0,22,M_0,M_0,M_0,M_4,M_1,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,47,47,0,22,0,22,M_0,M_0,M_0,M_4,M_1,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,48,48,0,22,0,22,M_0,M_0,M_0,M_4,M_1,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,49,49,1,23,0,23,M_0,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,50,50,0,23,0,23,M_0,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,51,51,0,23,0,23,M_0,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,52,52,0,23,0,23,M_0,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,53,53,1,24,0,24,M_0,M_0,M_0,M_3,M_2,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,54,54,0,24,0,24,M_0,M_0,M_0,M_3,M_2,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,55,55,1,25,0,25,M_0,M_0,M_0,M_1,M_2,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,56,56,1,26,0,26,M_0,M_0,M_0,M_1,M_4,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,57,57,0,26,0,26,M_0,M_0,M_0,M_1,M_4,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,58,58,0,26,0,26,M_0,M_0,M_0,M_1,M_4,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,59,59,1,27,0,27,M_0,M_0,M_0,M_1,M_3,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,60,60,0,27,0,27,M_0,M_0,M_0,M_1,M_3,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,61,61,0,27,0,27,M_0,M_0,M_0,M_1,M_3,M_1,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,62,62,1,28,0,28,M_0,M_0,M_0,M_1,M_3,M_2,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,63,63,0,28,0,28,M_0,M_0,M_0,M_1,M_3,M_2,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,64,64,0,28,0,28,M_0,M_0,M_0,M_1,M_3,M_2,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,65,65,2,30,0,30,M_0,M_0,M_0,M_1,M_0,M_4,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,66,66,0,30,0,30,M_0,M_0,M_0,M_1,M_0,M_4,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,67,67,0,30,0,30,M_0,M_0,M_0,M_1,M_0,M_4,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,68,68,1,31,0,31,M_0,M_0,M_0,M_1,M_0,M_3,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,69,69,0,31,0,31,M_0,M_0,M_0,M_1,M_0,M_3,M_1,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,70,70,1,32,0,32,M_0,M_0,M_0,M_1,M_0,M_3,M_2,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,71,71,0,32,0,32,M_0,M_0,M_0,M_1,M_0,M_3,M_2,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,72,72,0,32,0,32,M_0,M_0,M_0,M_1,M_0,M_3,M_2,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,73,73,2,34,0,34,M_0,M_0,M_0,M_1,M_0,M_2,M_4,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,74,74,0,34,0,34,M_0,M_0,M_0,M_1,M_0,M_2,M_4,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,75,75,0,34,0,34,M_0,M_0,M_0,M_1,M_0,M_2,M_4,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,76,76,1,35,0,35,M_0,M_0,M_0,M_1,M_0,M_2,M_3,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,77,77,0,35,0,35,M_0,M_0,M_0,M_1,M_0,M_2,M_3,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,78,78,0,35,0,35,M_0,M_0,M_0,M_1,M_0,M_2,M_3,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,79,79,0,35,0,35,M_0,M_0,M_0,M_1,M_0,M_2,M_3,M_2,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,80,80,1,36,0,36,M_0,M_0,M_0,M_1,M_0,M_2,M_3,M_4,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,81,81,1,37,0,37,M_0,M_0,M_0,M_1,M_0,M_2,M_1,M_4,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,82,82,0,37,0,37,M_0,M_0,M_0,M_1,M_0,M_2,M_1,M_4,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,83,83,1,38,0,38,M_0,M_0,M_0,M_1,M_0,M_2,M_1,M_3,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,84,84,0,38,0,38,M_0,M_0,M_0,M_1,M_0,M_2,M_1,M_3,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,85,85,0,38,0,38,M_0,M_0,M_0,M_1,M_0,M_2,M_1,M_3,M_2,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,86,86,1,39,0,39,M_0,M_0,M_0,M_1,M_0,M_2,M_1,M_3,M_4,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,87,87,0,39,0,39,M_0,M_0,M_0,M_1,M_0,M_2,M_1,M_3,M_4,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,88,88,0,39,0,39,M_0,M_0,M_0,M_1,M_0,M_2,M_1,M_3,M_4,M_2,M_4,M_4,M_4,M_3,M_3,M_3
0,89,89,3,42,0,42,M_0,M_0,M_0,M_1,M_0,M_2,M_1,M_1,M_3,M_4,M_4,M_4,M_4,M_3,M_3,M_3
0,90,90,0,42,0,42,M_0,M_0,M_0,M_1,M_0,M_2,M_1,M_1,M_3,M_4,M_4,M_4,M_4,M_3,M_3,M_3
0,91,91,0,42,0,42,M_0,M_0,M_0,M_1,M_0,M_2,M_1,M_1,M_3,M_4,M_4,M_4,M_4,M_3,M_3,M_3
0,92,92,0,42,0,42,M_0,M_0,M_0,M_1,M_0,M_2,M_1,M_1,M_3,M_4,M_4,M_4,M_4,M_3,M_3,M_3
0,93,93,0,42,0,42,M_0,M_0,M_0,M_1,M_0,M_2,M_1,M_1,M_3,M_4,M_4,M_4,M_4,M_3,M_3,M_3
0,94,94,2,44,0,44,M_0,M_0,M_0,M_1,M_0,M_2,M_1,M_1,M_1,M_3,M_4,M_4,M_4,M_3,M_3,M_3
