Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15
0,0,0,0,0,0,0,M_0,M_0,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_3,M_3,M_3,M_4,M_4,M_4,M_5
0,1,1,1,1,0,1,M_0,M_0,M_0,M_1,M_1,M_6,M_2,M_2,M_2,M_3,M_3,M_3,M_4,M_4,M_4,M_5
0,2,2,0,1,0,1,M_0,M_0,M_0,M_1,M_1,M_6,M_2,M_2,M_2,M_3,M_3,M_3,M_4,M_4,M_4,M_5
0,3,3,1,2,0,2,M_1,M_0,M_0,M_1,M_1,M_6,M_2,M_2,M_2,M_3,M_3,M_3,M_4,M_4,M_4,M_5
0,4,4,2,4,0,4,M_1,M_0,M_0,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_4,M_4,M_4,M_5
0,5,5,1,5,0,5,M_6,M_0,M_0,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_4,M_4,M_4,M_5
0,6,6,0,5,0,5,M_6,M_0,M_0,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_4,M_4,M_4,M_5
0,7,7,1,6,0,6,M_2,M_0,M_0,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_4,M_4,M_4,M_5
0,8,8,1,7,0,7,M_2,M_0,M_0,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_5
0,9,9,1,8,0,8,M_3,M_0,M_0,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_5
0,10,10,0,8,0,8,M_3,M_0,M_0,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_5
0,11,11,1,9,0,9,M_7,M_0,M_0,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_5
0,12,12,0,9,0,9,M_7,M_0,M_0,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_5
0,13,13,1,10,0,10,M_4,M_0,M_0,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_5
0,14,14,0,10,0,10,M_4,M_0,M_0,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_5
0,15,15,1,11,0,11,M_5,M_0,M_0,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_5
0,16,16,1,12,0,12,M_5,M_1,M_0,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_5
0,17,17,0,12,0,12,M_5,M_1,M_0,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_5
0,18,18,1,13,0,13,M_5,M_6,M_0,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_5
0,19,19,0,13,0,13,M_5,M_6,M_0,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_5
0,20,20,1,14,0,14,M_5,M_2,M_0,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_5
0,21,21,0,14,0,14,M_5,M_2,M_0,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_5
0,22,22,1,15,0,15,M_5,M_3,M_0,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_5
0,23,23,0,15,0,15,M_5,M_3,M_0,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_5
0,24,24,1,16,0,16,M_5,M_7,M_0,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_5
0,25,25,0,16,0,16,M_5,M_7,M_0,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_5
0,26,26,1,17,0,17,M_5,M_4,M_0,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_5
0,27,27,1,18,0,18,M_5,M_4,M_1,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_5
0,28,28,1,19,0,19,M_5,M_5,M_1,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_5
0,29,29,0,19,0,19,M_5,M_5,M_1,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_5
0,30,30,1,20,0,20,M_5,M_5,M_6,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_5
0,31,31,0,20,0,20,M_5,M_5,M_6,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_5
0,32,32,1,21,0,21,M_5,M_5,M_2,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_5
0,33,33,0,21,0,21,M_5,M_5,M_2,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_5
0,34,34,2,23,0,23,M_5,M_5,M_3,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_8
0,35,35,0,23,0,23,M_5,M_5,M_3,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_8
0,36,36,1,24,0,24,M_5,M_5,M_7,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_8
0,37,37,0,24,0,24,M_5,M_5,M_7,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_8
0,38,38,1,25,0,25,M_5,M_5,M_4,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_8
0,39,39,0,25,0,25,M_5,M_5,M_4,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_8
0,40,40,1,26,0,26,M_5,M_5,M_8,M_1,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_8
0,41,41,1,27,0,27,M_5,M_5,M_8,M_6,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_8
0,42,42,0,27,0,27,M_5,M_5,M_8,M_6,M_1,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_8
0,43,43,2,29,0,29,M_5,M_5,M_8,M_2,M_6,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_8
0,44,44,0,29,0,29,M_5,M_5,M_8,M_2,M_6,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_8
0,45,45,1,30,0,30,M_5,M_5,M_8,M_3,M_6,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_8
0,46,46,0,30,0,30,M_5,M_5,M_8,M_3,M_6,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_8
0,47,47,1,31,0,31,M_5,M_5,M_8,M_7,M_6,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_8
0,48,48,0,31,0,31,M_5,M_5,M_8,M_7,M_6,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_8
0,49,49,1,32,0,32,M_5,M_5,M_8,M_4,M_6,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_8
0,50,50,0,32,0,32,M_5,M_5,M_8,M_4,M_6,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_8
0,51,51,1,33,0,33,M_5,M_5,M_8,M_8,M_6,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_8
0,52,52,0,33,0,33,M_5,M_5,M_8,M_8,M_6,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_8
0,53,53,1,34,0,34,M_5,M_5,M_8,M_8,M_2,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_8
0,54,54,0,34,0,34,M_5,M_5,M_8,M_8,M_2,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_8
0,55,55,2,36,0,36,M_5,M_5,M_8,M_8,M_3,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_9
